n_samples_queried	n_samples	error	log-loss	$\text{ECE}_1$	MCE	sharpness	overconfidence	underconfidence	$\frac{o(f)}{u(f)}$	$\frac{\text{accuracy}}{\text{error}}$	$\abs{o(f) \mathbb{P}(\hat{y} \neq y) -u(f) \mathbb{P}(\hat{y} = y)}$	$avg. confidence	calibration_method	cv_run
2839	7222	0.09757975797579754	0.3987452165663443	0.037885555222188824	0.3396969696969697	0.10392360857021524	0.6679346455547486	0.1016963168097447	6.567933495608624	9.248027057497186	0.02659591377153729	0.8758243282526652	TemperatureScaling	0
2903	7472	0.09757975797579754	0.4000476982449386	0.03722504472669484	0.36191919191919186	0.10272126156815163	0.6722097422748274	0.1017323615949351	6.607629388879678	9.248027057497186	0.02621127841204411	0.8762089636121584	TemperatureScaling	0
2957	7722	0.098019801980198	0.4012078892432331	0.03841640830749735	0.36590909090909096	0.10393779943978561	0.6695617159409959	0.1025044073257078	6.532028557693751	9.202020202020204	0.02682663880748637	0.8751535592123155	TemperatureScaling	0
3012	7972	0.09911991199119907	0.4023357093410922	0.037627823893500396	0.3134848484848485	0.10418752532425081	0.6677778726948767	0.10226220262634281	6.530055636830735	9.088790233074366	0.02593589813080724	0.8749441898779936	TemperatureScaling	0
3075	8222	0.09878987898789882	0.40449525376148565	0.03795811803402556	0.3706565656565656	0.10542801875061028	0.6682831522789691	0.10434587701805406	6.4044998362833425	9.122494432071267	0.028017948711263424	0.8731921723008378	TemperatureScaling	0
3147	8472	0.0988998899889989	0.4035427614485808	0.03823706259514833	0.44282828282828285	0.1054164608219724	0.6659438415463155	0.10371337243655977	6.421002672087106	9.11123470522803	0.02759435864441402	0.873505751366587	TemperatureScaling	0
3206	8722	0.09911991199119907	0.4026543987930873	0.03564987054260975	0.30474747474747477	0.10469424894584753	0.6658232578190258	0.10295138170402976	6.4673562102660345	9.088790233074366	0.026750507093438694	0.8741295809153622	TemperatureScaling	0
3261	8972	0.10022002200220026	0.4040155689940535	0.03401834627907226	0.7564141414141414	0.10528455228359601	0.664129783626701	0.10232501204504237	6.4903953623221495	8.978046103183312	0.025510895559128333	0.8742690824386714	TemperatureScaling	0
3332	9222	0.10022002200220026	0.4033602472073599	0.03670560944983381	0.7564141414141414	0.10563065575517154	0.6626964038504074	0.10234943586150196	6.474841783663178	8.978046103183312	0.025676524972882614	0.8741034530249171	TemperatureScaling	0
3397	9472	0.10088008800880088	0.40495228494226665	0.03521784956273401	0.7564141414141414	0.10581614576038123	0.6625699462311523	0.10278445555662365	6.446207674526665	8.912758996728462	0.02557543614634966	0.8735444758448495	TemperatureScaling	0
3459	9722	0.10022002200220026	0.4027487514274617	0.03786840350701731	0.7564141414141414	0.10450289370024929	0.6635212610551225	0.10208168626410791	6.499904981373899	8.978046103183312	0.025352942038825266	0.8744270359589744	TemperatureScaling	0
3527	9972	0.10055005500550052	0.40252130770052286	0.03701645720127563	0.7738888888888888	0.10531394033017581	0.6603635266198411	0.10232114017576105	6.453832761103998	8.945295404814008	0.025633154977611414	0.8738167900168881	TemperatureScaling	0
3590	10222	0.09988998899889989	0.4025344355885211	0.03893344890044551	0.7738888888888888	0.10493385756637405	0.6624940786015141	0.10244888590683345	6.466581581023568	9.01101321585903	0.026038741597308734	0.8740712694037913	TemperatureScaling	0
3649	10472	0.09867986798679873	0.40248406163896894	0.03822163883054964	0.7738888888888888	0.10352308123826444	0.6664416384948513	0.10272768034268263	6.487459234665006	9.133779264214041	0.02682615350029889	0.8744939785129024	TemperatureScaling	0
3712	10722	0.09856985698569853	0.4024577950978914	0.038185346312408955	0.7826262626262626	0.10344021864233585	0.6666774871068016	0.10291725405930714	6.477800959619675	9.14508928571429	0.02705841048561812	0.8743717325286833	TemperatureScaling	0
3779	10972	0.09922992299229927	0.4026323678911742	0.037721716616105995	0.7826262626262626	0.10432232029301503	0.6629608131139443	0.10294880170482495	6.439713742514333	9.077605321507757	0.026947649607296897	0.8738224274004038	TemperatureScaling	0
3842	11222	0.09911991199119907	0.4023806414568944	0.03868457956906795	0.7826262626262626	0.10428486916122896	0.662409917057411	0.10291247275902253	6.436633959894198	9.088790233074366	0.02705378483552348	0.8738263031732775	TemperatureScaling	0
3901	11472	0.09922992299229927	0.40228363011527507	0.04023470680401368	0.7826262626262626	0.1034478074841808	0.6630083817646012	0.10294550291393642	6.440382173069605	9.077605321507757	0.02693995792163266	0.8738301190860681	TemperatureScaling	0
3977	11722	0.09900990099009899	0.4008590254053225	0.040227928348390334	0.3396969696969697	0.10343688547081069	0.660708375255146	0.10288676718849113	6.421704105492126	9.100000000000003	0.02728328773862608	0.8737068112712749	TemperatureScaling	0
4041	11972	0.09867986798679873	0.39981581463832855	0.03821248235934697	0.330959595959596	0.1022369889185386	0.6615020584823984	0.10233878351468802	6.463845237983089	9.133779264214041	0.026963070063490344	0.8743570619497109	TemperatureScaling	0
4101	12222	0.09812981298129808	0.3981453743005331	0.03876677112155652	0.34843434343434343	0.1009822439521762	0.6619346128787054	0.10209813104110228	6.483317629117288	9.19058295964126	0.027123740768663543	0.8747464462500384	TemperatureScaling	0
4173	12472	0.09823982398239828	0.3994466721097379	0.041596665222077694	0.34843434343434343	0.10038843434177379	0.66470132737412	0.10257186605476137	6.480347418260357	9.179171332586781	0.02719508258589544	0.8745650934317063	TemperatureScaling	0
