n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
4231	10813	0.09713971397139709	1.348858167619524	0.038557484505601446	0.6865151515151515	0.09907227581916132	0.6716788177609183	0.10121237340385109	0.8767263418655099	GPCalibration	0
4238	11063	0.09680968096809683	1.349199273122655	0.037526458141518226	0.6865151515151515	0.0992007771361928	0.6726965872112419	0.10146369896468867	0.8766728303900769	GPCalibration	0
4241	11313	0.09680968096809683	1.3492056937637475	0.0386307298394426	0.34843434343434343	0.09925713938254732	0.6725409649176847	0.10148951207115231	0.876634450497624	GPCalibration	0
4247	11563	0.09680968096809683	1.3494228407359385	0.037864488631645654	0.6865151515151515	0.09919254932325502	0.6729192508804056	0.10158125260940311	0.8765882130749789	GPCalibration	0
4256	11813	0.09680968096809683	1.3488896417050462	0.03817294824720563	0.6865151515151515	0.09871514774249589	0.6729216780063167	0.10113257578651595	0.8769936886070696	GPCalibration	0
4260	12063	0.09636963696369638	1.3487794367866388	0.038048901696287434	0.6865151515151515	0.09851618043965633	0.6738745325007477	0.10107174425663948	0.8772399101371416	GPCalibration	0
4264	12313	0.09658965896589655	1.3482192980093675	0.03984202100891978	0.6865151515151515	0.09838655035753034	0.6729488819985824	0.10070871124786214	0.8774289528742917	GPCalibration	0
4266	12563	0.09691969196919692	1.348402128252322	0.03740804095987885	0.36590909090909096	0.09832406602500637	0.672631019459742	0.10065762769648524	0.8773695778199764	GPCalibration	0
4269	12813	0.09691969196919692	1.3483694139037867	0.04058761974689944	0.6865151515151515	0.09833034614475902	0.672703343128094	0.10057532100003944	0.8774509169644145	GPCalibration	0
4271	13063	0.09669966996699675	1.3484286070532554	0.0400943188243684	0.6865151515151515	0.09822348174422747	0.6733887323247826	0.10055188312804049	0.8775882489933051	GPCalibration	0
4273	13313	0.09680968096809683	1.3484451314683914	0.03713985583565026	0.6865151515151515	0.09825778608205335	0.6730126439824557	0.10051213440629725	0.8775628716423389	GPCalibration	0
4274	13563	0.09680968096809683	1.3482952650443418	0.0395775347039788	0.6865151515151515	0.09812359031931067	0.6730073101870333	0.10044041210869092	0.8776271341641625	GPCalibration	0
4301	13813	0.09713971397139709	1.347898974004686	0.03790901969200897	0.6865151515151515	0.09751509452921554	0.674024406429414	0.10038453074071092	0.8777016179414915	GPCalibration	0
4339	14063	0.09669966996699675	1.3481311830057168	0.039312668040909826	0.6865151515151515	0.09844229152552274	0.6747637109233025	0.10091989026605525	0.8773887880007705	GPCalibration	0
4379	14313	0.09636963696369638	1.3477546683012471	0.03991510317329683	0.6865151515151515	0.09828668920485413	0.674085971264395	0.10088811558193349	0.8774262188600229	GPCalibration	0
